group,var1,var2
1,10000,2062809
2,20000,2451140
3,10000,2198080
4,30000,5609962
5,10000,1915475
6,10000,1388440
7,0,1198595
8,0,919292
9,20000,4652905
10,30000,5735489
11,30000,4017425
12,20000,4672579
13,20000,4110496
14,20000,4287552
15,20000,3708408
16,30000,3462682
17,90000,10671114
18,40000,7177948
19,20000,3289203
20,10000,1736912
21,0,1299497
22,20000,4063794
23,10000,4837601
24,20000,4850874
25,20000,3690223
26,40000,8567710
27,10000,6922596
28,10000,2975676
29,30000,7519732
30,40000,9292962
31,10000,3450143
32,0,2342068
33,30000,6635495
34,30000,3447065
35,50000,8782527
36,30000,6065038
37,10000,1437805
38,10000,1653420
39,0,1459432
40,30000,4689297
41,10000,1643726
42,0,547063
43,0,369920
44,0,761631
45,0,854143
46,0,804391
47,10000,3146949
48,0,1108376
49,10000,1404230
50,180000,18053492
51,330000,30960581
52,150000,13936113
